Price,Bedrooms,Bathrooms,LandSize,FloorArea,Latitude,Longitude,PricePerSqMeter,url
30000.00,2,2.0,0.0,71.0,14.5894572,121.0032543,422.54,href="https://www.lamudi.com.ph/2-bedroom-house-for-rent-at-pandacan-manila-city-m-16818185103.html"
50000.00,3,3.0,0.0,110.0,14.5822048,121.0135541,454.55,href="https://www.lamudi.com.ph/3-bedroom-townhouse-for-lease-at-pedro-gil-st-sant-168879446150.html"
200000.00,3,4.0,0.0,474.0,14.613735873449,120.96733783388,421.94,href="https://www.lamudi.com.ph/3-storey-house-for-rent-in-tondo-manila-168653255618.html"
200000.00,4,4.0,0.0,474.0,14.613696928834,120.96735204883,421.94,href="https://www.lamudi.com.ph/3-storey-house-for-rent-tondo-manila-good-for-resi-168653307273.html"
75000.00,4,4.0,0.0,188.0,14.585454,120.993855,398.94,href="https://www.lamudi.com.ph/4-bedroom-townhouse-unit-in-otis-888-residences-fo-16741325842.html"
75000.00,4,4.0,0.0,400.0,14.60386392,121.0145565,187.50,href="https://www.lamudi.com.ph/4-bedrooms-townhouse-unit-for-rent-in-sta-mesa-man-168977557430.html"
60000.00,3,3.0,0.0,180.0,14.570199,120.991585,333.33,href="https://www.lamudi.com.ph/4-storey-townhouse-for-rent-with-3-bedrooms-1-park-16777805913.html"
45000.00,4,3.0,0.0,240.0,14.570199,120.991585,187.50,href="https://www.lamudi.com.ph/4br-townhouse-for-rent-at-malate-manila-metro-mani-168481145965.html"
75000.00,4,4.0,0.0,400.0,14.5971795,121.017867,187.50,href="https://www.lamudi.com.ph/4br-townhouse-for-rent-at-sta-mesa-manila-168955349765.html"
50000.00,4,3.0,0.0,240.0,14.570199,120.991585,208.33,href="https://www.lamudi.com.ph/4br-townhouse-for-rent-in-malate-manila-city-167296548734.html"
120000.00,6,6.0,0.0,500.0,14.61103,120.996236,240.00,href="https://www.lamudi.com.ph/6-bedroom-house-and-lot-for-lease-in-sampaloc-mani-168429364884.html"
130000.00,6,3.0,0.0,500.0,14.61103,120.996236,260.00,href="https://www.lamudi.com.ph/6-bedroom-house-and-lot-for-rent-in-sampaloc-manil-168266980546.html"
130000.00,7,6.0,0.0,500.0,14.61103,120.996236,260.00,href="https://www.lamudi.com.ph/7br-house-for-rent-at-maceda-street-sampaloc-manil-168050795059.html"
85000.00,4,4.0,0.0,300.0,14.5962746,121.0560385,283.33,href="https://www.lamudi.com.ph/alabang-hills-house-for-rent-168911229118.html"
105580.00,3,3.0,0.0,345.0,14.58415,120.99706,306.03,href="https://www.lamudi.com.ph/beautifully-renovated-3-bedroom-house-in-pe-afranc-167766096442.html"
23000.00,2,2.0,0.0,100.0,14.5723066,121.0034823,230.00,href="https://www.lamudi.com.ph/comfortable-newly-renovated-house-for-rent-in-san-169140288878.html"
270000.00,4,4.0,0.0,400.0,14.5962746,121.0560385,675.00,href="https://www.lamudi.com.ph/for-lease-4-bedroom-in-juan-luna-makati-city-169043775686.html"
150000.00,3,2.0,0.0,400.0,14.5822048,121.0135541,375.00,href="https://www.lamudi.com.ph/for-lease-house-400-sqm-and-lot-600-sqm-near-pedro-168668760566.html"
75000.00,4,4.0,0.0,188.0,14.585454,120.993855,398.94,href="https://www.lamudi.com.ph/for-lease-townhouse-in-otis-888-residences-paco-ma-167565171816.html"
75000.00,4,4.0,0.0,188.0,14.585454,120.993855,398.94,href="https://www.lamudi.com.ph/for-lease-townhouse-in-otis-888-residences-paco-ma-167565193029.html"
40000.00,3,3.0,0.0,120.0,14.5723066,121.0034823,333.33,href="https://www.lamudi.com.ph/for-rent-3-storey-townhouse-bare-furnish-3-bedroom-168449400757.html"
50000.00,3,3.0,0.0,165.0,14.61608,120.99644,303.03,href="https://www.lamudi.com.ph/for-rent-semi-furnished-townhouse-with-great-location-in-sampaloc-manila.html"
75000.00,3,1.0,0.0,300.0,14.570199,120.991585,250.00,href="https://www.lamudi.com.ph/for-rent-two-storey-3br-house-located-at-taal-street-malate-manila.html"
38000.00,4,2.0,0.0,210.0,14.5962746,121.0560385,180.95,href="https://www.lamudi.com.ph/house-with-commercial-space-for-rent-near-sm-sta-m-167289937244.html"
50000.00,4,3.0,0.0,240.0,14.570199,120.991585,208.33,href="https://www.lamudi.com.ph/malate-townhouse-for-rent-walking-distance-to-de-l-167257140434.html"
45000.00,3,3.0,0.0,75.0,14.5962746,121.0560385,600.00,href="https://www.lamudi.com.ph/manila-town-house-3-bedroom-for-rent.html"
150000.00,9,6.0,0.0,400.0,14.5822048,121.0135541,375.00,href="https://www.lamudi.com.ph/sta-ana-manila-house-and-lot-for-lease-166590918535.html"
50000.00,3,3.0,0.0,200.0,14.59869,121.01636,250.00,href="https://www.lamudi.com.ph/staff-house-for-rent-in-sta-mesa-manila-166606594937.html"
50000.00,3,3.0,0.0,150.0,14.5962746,121.0560385,333.33,href="https://www.lamudi.com.ph/townhouse-for-lease-in-sampaloc-manila-169184198354.html"
45000.00,3,3.0,0.0,270.0,14.5971795,121.017867,166.67,href="https://www.lamudi.com.ph/townhouse-for-rent-at-reposo-st-sta-mesa-manila-ne-16624382489.html"
